지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
서울 서초구,강남 힐튼 가든인,"퀸 패밀리(기준3인외입실불가), 디럭스 2더블( 기준4인외입실불가)","350,000 ~ 650,000",급여 및 포인트,"60,000 ~ 360,000 (+ 60 ~ 60)"
서울 서초구,신라스테이호텔_서초,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","210,000 ~ 380,000",급여 및 포인트,"40,000 ~ 90,000 (+ 40 ~ 60)"
서울 영등포구,글래드호텔_여의도,"스탠다드더블(기준2인외입실불가), 디럭스트윈(기준2인외입실불가), 점보트윈(기준2인)","170,000 ~ 482,000",급여 및 포인트,"35,000 ~ 192,000 (+ 35 ~ 60)"
서울 용산구,이비스스타일앰배서더_용산,"더블(기준2인), 트윈(기준2인)","236,000 ~ 350,000",급여 및 포인트,"40,000 ~ 60,000 (+ 40 ~ 60)"
서울 용산구,포포인츠 바이 쉐라톤 조선 서울역,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","210,000 ~ 550,000",급여 및 포인트,"40,000 ~ 260,000 (+ 40 ~ 60)"
서울 종로구,나인트리 바이 파르나스_인사동,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","279,000 ~ 459,000",급여 및 포인트,"50,000 ~ 169,000 (+ 50 ~ 60)"
서울 종로구,신라스테이호텔_광화문,"트윈(기준2인외입실불가), 더블(기준2인외입실불가)","360,000 ~ 500,000",급여 및 포인트,"70,000 ~ 210,000 (+ 60 ~ 60)"
서울 중구,G3호텔_충무로,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","260,000 ~ 400,000",급여 및 포인트,"50,000 ~ 110,000 (+ 50 ~ 60)"
서울 중구,L7호텔_명동,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","420,000 ~ 580,000",급여 및 포인트,"130,000 ~ 290,000 (+ 60 ~ 60)"
서울 중구,나인트리 바이 파르나스_동대문,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","220,000 ~ 472,000",급여 및 포인트,"40,000 ~ 182,000 (+ 40 ~ 60)"
서울 중구,나인트리 바이 파르나스_명동 Ⅱ,"더블(기준2인외 입실불가), 트윈(기준2인외 입실불가)","239,000 ~ 420,000",급여 및 포인트,"40,000 ~ 130,000 (+ 40 ~ 60)"
서울 중구,레스케이프호텔,"클래식킹(기준2인외입실불가), 시크레킹(기준2인), 아틀리에킹(기준2인)","360,000 ~ 653,000",급여 및 포인트,"70,000 ~ 363,000 (+ 60 ~ 60)"
서울 중구,로얄호텔 서울,"더블(기준2인외입실불가), 트윈(기준2인외입실불가), 트리플(기준3인외입실불가)","373,000 ~ 678,000",급여 및 포인트,"83,000 ~ 388,000 (+ 60 ~ 60)"
서울 중구,롯데시티호텔_명동,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","267,000 ~ 521,000",급여 및 포인트,"50,000 ~ 231,000 (+ 50 ~ 60)"
서울 중구,목시 서울 명동,"1퀸베드룸(기준2인), 2더블베드룸(기준2인), 2퀸베드룸(기준2인)","253,000 ~ 396,000",급여 및 포인트,"50,000 ~ 106,000 (+ 50 ~ 60)"
서울 중구,보코 서울_명동,"디럭스킹(기준2인외입실불가), 디럭스트윈(기준인외입실불가), 프리미엄패밀리트윈(기준3인외입실불가)","270,000 ~ 500,000",급여 및 포인트,"50,000 ~ 210,000 (+ 50 ~ 60)"
서울 중구,코트야드 메리어트_서울 명동(구 남대문),"킹(기준2인외입실불가), 트윈(기준2인외입실불가)","270,000 ~ 480,000",급여 및 포인트,"50,000 ~ 190,000 (+ 50 ~ 60)"
